Serial Number: 90002147
Model Number: SPM-002-E   
Firmware Version: 004.17.3
Exposure Time: 1000µs  
Logging Finished on: 21/05/2021 2:45:05.081
Pixel Number	Wavelength	Dark Background Reference	Transmittance Reference	21/05/2021 2:43:03.378 _Exposure: 1000us	21/05/2021 2:43:33.581 _Exposure: 1000us	21/05/2021 2:44:03.596 _Exposure: 1000us	21/05/2021 2:44:33.519 _Exposure: 1000us	21/05/2021 2:45:03.674 _Exposure: 1000us
0.000	166.244	0.000	0.000	0.000	0.000	0.000	0.000	0.000
1.000	166.514	0.000	0.000	0.000	0.000	0.000	0.000	0.000
2.000	166.784	0.000	0.000	0.000	0.000	0.000	0.000	0.000
3.000	167.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000
4.000	167.324	0.000	0.000	0.000	0.000	0.000	0.000	0.000
5.000	167.595	0.000	0.000	0.000	0.000	0.000	0.000	0.000
6.000	167.865	0.000	0.000	0.000	0.000	0.000	0.000	0.000
7.000	168.135	0.000	0.000	0.000	0.000	0.000	0.000	0.000
8.000	168.405	0.000	0.000	0.000	0.000	0.000	0.000	0.000
9.000	168.675	0.000	0.000	0.000	0.000	0.000	0.000	0.000
10.000	168.946	0.000	0.000	0.000	0.000	0.000	0.000	0.000
11.000	169.216	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12.000	169.486	0.000	0.000	0.000	0.000	0.000	0.000	0.000
13.000	169.756	0.000	0.000	0.000	0.000	0.000	0.000	0.000
14.000	170.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000
15.000	170.297	0.000	0.000	0.000	0.000	0.000	0.000	0.000
16.000	170.567	0.000	0.000	0.000	0.000	0.000	0.000	0.000
17.000	170.837	0.000	0.000	0.000	0.000	0.000	0.000	0.000
18.000	171.108	0.000	0.000	0.000	0.000	0.000	0.000	0.000
19.000	171.378	0.000	0.000	0.000	0.000	0.000	0.000	0.000
20.000	171.648	0.000	0.000	0.000	0.000	0.000	0.000	0.000
21.000	171.919	0.000	0.000	0.000	0.000	0.000	0.000	0.000
22.000	172.189	0.000	0.000	0.000	0.000	0.000	0.000	0.000
23.000	172.459	0.000	0.000	0.000	0.000	0.000	0.000	0.000
24.000	172.730	0.000	0.000	0.000	0.000	0.000	0.000	0.000
25.000	173.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
26.000	173.271	0.000	0.000	0.000	0.000	0.000	0.000	0.000
27.000	173.541	0.000	0.000	0.000	0.000	0.000	0.000	0.000
28.000	173.811	0.000	0.000	0.000	0.000	0.000	0.000	0.000
29.000	174.082	0.000	0.000	0.000	0.000	0.000	0.000	0.000
30.000	174.352	0.000	0.000	0.000	0.000	0.000	0.000	0.000
